##FastQC	0.11.7
>>Basic Statistics	pass
#Measure	Value
Filename	216_L8_1.fq.gz
File type	Conventional base calls
Encoding	Sanger / Illumina 1.9
Total Sequences	2000000
Sequences flagged as poor quality	0
Sequence length	100
%GC	49
>>END_MODULE
>>Per base sequence quality	pass
#Base	Mean	Median	Lower Quartile	Upper Quartile	10th Percentile	90th Percentile
1	31.239203	32.0	32.0	32.0	32.0	32.0
2	31.636415	32.0	32.0	32.0	32.0	32.0
3	35.7111375	37.0	37.0	37.0	32.0	37.0
4	36.1527175	37.0	37.0	37.0	32.0	37.0
5	36.402376	37.0	37.0	37.0	37.0	37.0
6	40.442962	42.0	42.0	42.0	37.0	42.0
7	40.5566935	42.0	42.0	42.0	37.0	42.0
8	40.823696	42.0	42.0	42.0	37.0	42.0
9	40.893508	42.0	42.0	42.0	37.0	42.0
10-11	40.8848775	42.0	42.0	42.0	37.0	42.0
12-13	40.907779250000004	42.0	42.0	42.0	37.0	42.0
14-15	40.894735	42.0	42.0	42.0	37.0	42.0
16-17	40.859674999999996	42.0	42.0	42.0	37.0	42.0
18-19	40.82711175	42.0	42.0	42.0	37.0	42.0
20-21	40.796705	42.0	42.0	42.0	37.0	42.0
22-23	40.787454249999996	42.0	42.0	42.0	37.0	42.0
24-25	40.73560175	42.0	42.0	42.0	37.0	42.0
26-27	40.65128249999999	42.0	42.0	42.0	37.0	42.0
28-29	40.596515	42.0	42.0	42.0	37.0	42.0
30-31	40.5499945	42.0	42.0	42.0	37.0	42.0
32-33	40.52312025	42.0	42.0	42.0	37.0	42.0
34-35	40.486498	42.0	42.0	42.0	37.0	42.0
36-37	40.43458975	42.0	42.0	42.0	37.0	42.0
38-39	40.360392000000004	42.0	42.0	42.0	37.0	42.0
40-41	40.322019	42.0	42.0	42.0	37.0	42.0
42-43	40.3004075	42.0	42.0	42.0	37.0	42.0
44-45	40.245777000000004	42.0	42.0	42.0	37.0	42.0
46-47	40.161903	42.0	42.0	42.0	37.0	42.0
48-49	40.095425500000005	42.0	42.0	42.0	37.0	42.0
50-51	40.070057000000006	42.0	42.0	42.0	37.0	42.0
52-53	39.99471	42.0	42.0	42.0	37.0	42.0
54-55	39.96735775	42.0	42.0	42.0	37.0	42.0
56-57	39.897859249999996	42.0	42.0	42.0	37.0	42.0
58-59	39.81103925	42.0	42.0	42.0	34.5	42.0
60-61	39.71130775	42.0	42.0	42.0	32.0	42.0
62-63	39.659555499999996	42.0	42.0	42.0	32.0	42.0
64-65	39.57628925	42.0	42.0	42.0	32.0	42.0
66-67	39.4132115	42.0	37.0	42.0	32.0	42.0
68-69	39.20725899999999	42.0	37.0	42.0	32.0	42.0
70-71	39.101240000000004	42.0	37.0	42.0	32.0	42.0
72-73	38.9109165	42.0	37.0	42.0	32.0	42.0
74-75	38.772949499999996	42.0	37.0	42.0	32.0	42.0
76-77	37.350724	39.5	34.5	42.0	29.5	42.0
78-79	37.68187225	42.0	37.0	42.0	29.5	42.0
80-81	38.372951	42.0	37.0	42.0	32.0	42.0
82-83	38.25544475	42.0	37.0	42.0	32.0	42.0
84-85	38.332062	42.0	37.0	42.0	32.0	42.0
86-87	38.26017125	42.0	37.0	42.0	32.0	42.0
88-89	38.108318749999995	42.0	37.0	42.0	32.0	42.0
90-91	37.98427675000001	42.0	37.0	42.0	29.5	42.0
92-93	37.855206249999995	42.0	37.0	42.0	27.0	42.0
94-95	37.93632625	42.0	37.0	42.0	27.0	42.0
96-97	37.81530575	42.0	37.0	42.0	27.0	42.0
98-99	37.80405075	42.0	37.0	42.0	27.0	42.0
100	37.74293	42.0	37.0	42.0	27.0	42.0
>>END_MODULE
>>Per tile sequence quality	pass
#Tile	Base	Mean
1101	1	0.07353151611685149
1101	2	0.010106949221011519
1101	3	0.09714566305896
1101	4	-0.0050206073623044745
1101	5	-0.04194477913142691
1101	6	0.0068386321740234735
1101	7	-0.07493685724798382
1101	8	-0.08590721654921651
1101	9	0.020813967997092675
1101	10-11	-0.00801443659115364
1101	12-13	0.04374981530908428
1101	14-15	0.006042399335193238
1101	16-17	-0.08250010965046073
1101	18-19	-0.10869015958068218
1101	20-21	-0.16400647788201184
1101	22-23	-0.12457526789272322
1101	24-25	-0.10732246857836003
1101	26-27	-0.16140609726951283
1101	28-29	-0.2109691873061479
1101	30-31	-0.3385811129358345
1101	32-33	-0.2366642479645762
1101	34-35	-0.1789762838628306
1101	36-37	-0.3430192917692807
1101	38-39	-0.35165866833129655
1101	40-41	-0.43193376919732884
1101	42-43	-0.39150722511394065
1101	44-45	-0.29774497451288084
1101	46-47	-0.38433640107090383
1101	48-49	-0.2963616455760203
1101	50-51	-0.3022278585127509
1101	52-53	-0.3599782543759247
1101	54-55	-0.4593146130655157
1101	56-57	-0.6073627798873673
1101	58-59	-0.6998103269081639
1101	60-61	-0.6313714325482707
1101	62-63	-0.8947857455020909
1101	64-65	-1.075618274805933
1101	66-67	-1.2722304533914723
1101	68-69	-1.8754848191629705
1101	70-71	-1.8627148635630064
1101	72-73	-1.9769667297951088
1101	74-75	-1.9990077099541281
1101	76-77	-2.143024223272988
1101	78-79	-2.206432328164034
1101	80-81	-1.9444213371434458
1101	82-83	-1.772565471419739
1101	84-85	-1.264152850714808
1101	86-87	-1.581074999158389
1101	88-89	-1.280012784788184
1101	90-91	-1.4921817495254999
1101	92-93	-1.1906623865194916
1101	94-95	-0.6426996783409251
1101	96-97	-0.48913873246709016
1101	98-99	-0.7246018903114049
1101	100	-0.3709750308252566
1102	1	-0.03302156134787637
1102	2	-0.050674857253181216
1102	3	-0.054783510590965534
1102	4	-0.025306870135047177
1102	5	0.014733183897646995
1102	6	0.03256722203558837
1102	7	0.0749560943952261
1102	8	-0.04143131776258002
1102	9	-0.06973695060101903
1102	10-11	0.013688125371444926
1102	12-13	-0.03222878373827598
1102	14-15	-0.03143810584650453
1102	16-17	-0.07601245068179452
1102	18-19	0.01362750680230107
1102	20-21	0.02109597436538735
1102	22-23	0.017804671619074952
1102	24-25	-0.03707128758907885
1102	26-27	-0.19190779750956466
1102	28-29	-0.12310244299870732
1102	30-31	-0.15460846266449124
1102	32-33	-0.23730549045314575
1102	34-35	-0.24333215626268867
1102	36-37	-0.0794768605199252
1102	38-39	-0.0965707701122227
1102	40-41	-0.09756116088028932
1102	42-43	-0.11834291715128842
1102	44-45	-0.21867640922322096
1102	46-47	-0.13934278230729547
1102	48-49	-0.2731604086272412
1102	50-51	-0.1693366444453801
1102	52-53	-0.2585687774810239
1102	54-55	-0.3699152681223481
1102	56-57	-0.2942104619674595
1102	58-59	-0.4169972678945726
1102	60-61	-0.512110565125603
1102	62-63	-0.5337135907129777
1102	64-65	-0.5353076874177916
1102	66-67	-0.6649468871328139
1102	68-69	-0.822019004937637
1102	70-71	-0.7580813802094966
1102	72-73	-0.8086066534071108
1102	74-75	-1.0010969574246573
1102	76-77	-1.2774375664765572
1102	78-79	-1.0842995980051455
1102	80-81	-1.2486588029493575
1102	82-83	-1.006400107829485
1102	84-85	-0.9703729827085255
1102	86-87	-0.9224369843626476
1102	88-89	-0.8517934676528967
1102	90-91	-0.5781932203425768
1102	92-93	-0.4698160808313787
1102	94-95	-0.4088653181577797
1102	96-97	-0.1875959375628966
1102	98-99	-0.0648812229101523
1102	100	-0.3285878471451511
1103	1	0.014686145602112788
1103	2	-0.07338139591683301
1103	3	0.1297328642668063
1103	4	-0.004202479105437362
